,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
60,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
37,,TWN,EastAsia,33965.871,23.43400001525879,3.934564113616943,,,
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
173,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.176770687103272
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
122,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.5900002,30.5,5.565009117126465
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
163,0.421,SSD,SubSaharian,,,,,,2.738420724868774
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578
19,0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
42,0.77499998,CRI,LatAm,9485.71,,8.600000381469727,3.45,14.2,9.313112258911133
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
180,0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.89999961853027,5.2600002,14.5,6.296421051025391
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.900000095367432,,33.200001,6.379294395446777
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
97,0.42699999,LBR,SubSaharian,488.26999,,53.59999847412109,3.72,14.2,10.03633308410645
4,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
150,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
148,,SMR,WesternDem,42664.211,0.034000001847744,,,,6.129065036773682
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
93,0.58200002,LAO,SouthEastAsia,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.475303411483765
2,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143
40,0.58999997,COG,SubSaharian,2369.8401,,,3.8199999,18.5,5.151411533355713
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084
62,0.76800001,GEO,EastEurope,7148.5698,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
106,0.43799999,MLI,SubSaharian,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
169,0.55299997,SYR,NorthAfrica,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825
69,0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227783
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265137,1.91,,3.643985748291016
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
113,0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,15.10000038146973,9.9899998,23.799999,10.32365608215332
13,0.741,ARM,EastEurope,6451.9399,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
39,0.498,COM,SubSaharian,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927002
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328
154,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522461
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
170,0.625,TJK,EastEurope,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227
50,0.71799999,DOM,LatAm,10376.63,,22.79999923706055,5.9200001,14.5,4.375777721405029
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
99,0.91100001,LIE,WesternDem,102243.52,,,,,
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
134,0.69199997,PRY,LatAm,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,,1.58,,13.7069149017334
6,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.80000019073486,1.39,,7.003858089447022
89,,PRK,EastAsia,1727.8199,,,3.3499999,,
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.5599999,,6.416542530059815
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
52,0.67799997,SLV,LatAm,332.26999,,13.60000038146973,2.52,,6.772402763366699
